_source,_ts,strategy,params,Sharpe,CAGR,MaxDD,Trades,WinRate,AvgTrade,FeeBps,EquityFinal,RobustScore,Pass
2025-10-22T07-32-43-730Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-32-43-730Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-44-37-078Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-44-37-078Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-44-38-693Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-44-38-693Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-44-40-436Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-44-40-436Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-44-42-172Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-44-42-172Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-44-43-964Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-44-43-964Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T07-50-24-772Z_UnnamedStrategy\auditoria.csv,2025-10-22T07-50-24-772Z,UnnamedStrategy,{},0.16469954191785424,0.010816384319942474,0.11269220170958326,,,,,10102.55545,,
2025-10-22T08-00-14-631Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-14-631Z,UnnamedStrategy,{},0.3234546366753997,0.025298777624772617,0.10719190716962088,,,,,10239.78162,,
2025-10-22T08-00-16-259Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-16-259Z,UnnamedStrategy,{},0.8118437050799113,0.06342627717834493,0.055614238112194285,,,,,10600.57994,,
2025-10-22T08-00-18-036Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-18-036Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-22T08-00-19-774Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-19-774Z,UnnamedStrategy,{},1.071480824548232,0.0998539943314587,0.09721247982040877,,,,,10944.67005,,
2025-10-22T08-00-21-554Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-21-554Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T08-00-23-256Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-23-256Z,UnnamedStrategy,{},1.0393821449568479,0.047409342092728624,0.021671638760570416,,,,,10449.0953,,
2025-10-22T08-00-56-441Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-00-56-441Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-22T08-01-19-996Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-19-996Z,UnnamedStrategy,{},0.3234546366753997,0.025298777624772617,0.10719190716962088,,,,,10239.78162,,
2025-10-22T08-01-21-587Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-21-587Z,UnnamedStrategy,{},0.8118437050799113,0.06342627717834493,0.055614238112194285,,,,,10600.57994,,
2025-10-22T08-01-23-169Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-23-169Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-22T08-01-24-765Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-24-765Z,UnnamedStrategy,{},1.071480824548232,0.0998539943314587,0.09721247982040877,,,,,10944.67005,,
2025-10-22T08-01-26-407Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-26-407Z,UnnamedStrategy,{},0.49847038725573267,0.034776349106625304,0.05984884168432108,,,,,10329.531,,
2025-10-22T08-01-28-001Z_UnnamedStrategy\auditoria.csv,2025-10-22T08-01-28-001Z,UnnamedStrategy,{},1.0393821449568479,0.047409342092728624,0.021671638760570416,,,,,10449.0953,,
2025-10-23T07-47-36-206Z_UnnamedStrategy\auditoria.csv,2025-10-23T07-47-36-206Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-23T19-18-38-722Z_UnnamedStrategy\auditoria.csv,2025-10-23T19-18-38-722Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-23T20-26-27-260Z_UnnamedStrategy\auditoria.csv,2025-10-23T20-26-27-260Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
